Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2020/06/27 11:00:00+00,168054,419165,251111,28556,6.8,4007,19704,96,0.5,102
2020/06/28 11:00:00+00,169394,421889,252495,28560,6.8,2724,20269,91,0.4,103
2020/06/29 11:00:00+00,170577,425229,254652,28588,6.7,3340,22111,113,0.5,104
2020/06/30 11:00:00+00,172717,429820,257103,28595,6.7,4591,24586,114,0.5,105
2020/07/01 11:00:00+00,175273,434371,259098,28617,6.6,4551,25885,114,0.4,106
2020/07/02 11:00:00+00,177813,438163,260350,28625,6.5,3792,26694,110,0.4,107
2020/07/03 11:00:00+00,179954,446212,266258,28635,6.4,8049,31054,83,0.3,108
2020/07/04 11:00:00+00,182043,454524,272481,28664,6.3,8312,35359,108,0.3,109
2020/07/05 11:00:00+00,183576,461524,277948,28672,6.2,7000,39635,112,0.3,110
2020/07/06 11:00:00+00,184957,468053,283096,28692,6.1,6529,42824,104,0.2,111
2020/07/07 11:00:00+00,187331,474214,286883,28703,6.1,6161,44394,108,0.2,112
2020/07/08 11:00:00+00,190106,478575,288469,28723,6,4361,44204,106,0.2,113
2020/07/09 11:00:00+00,192807,482520,289713,28750,6,3945,44357,125,0.3,114
2020/07/10 11:00:00+00,194940,491850,296910,28771,5.8,9330,45638,136,0.3,115
2020/07/11 11:00:00+00,196963,500779,303816,28812,5.8,8929,46255,148,0.3,116
2020/07/12 11:00:00+00,198501,509496,310995,28826,5.7,8717,47972,154,0.3,117
2020/07/13 11:00:00+00,199803,517160,317357,28845,5.6,7664,49107,153,0.3,118
2020/07/14 11:00:00+00,202340,523560,321220,28860,5.5,6400,49346,157,0.3,119
2020/07/15 11:00:00+00,205307,527947,322640,28877,5.5,4387,49372,154,0.3,120
2020/07/16 11:00:00+00,207814,532263,324449,28901,5.4,4316,49743,151,0.3,121
2020/07/17 11:00:00+00,210035,541775,331740,28927,5.3,9512,49925,156,0.3,122
2020/07/18 11:00:00+00,212183,551018,338835,28941,5.3,9243,50239,129,0.3,123
2020/07/19 11:00:00+00,213795,559648,345853,28954,5.2,8630,50152,128,0.3,124
2020/07/20 11:00:00+00,215141,568063,352922,28985,5.1,8415,50903,140,0.3,125
2020/07/21 11:00:00+00,217649,574737,357088,28998,5,6674,51177,138,0.3,126
2020/07/22 11:00:00+00,220464,579356,358892,29016,5,4619,51409,139,0.3,127
2020/07/23 11:00:00+00,222991,583423,360432,29028,5,4067,51160,127,0.2,128
2020/07/24 11:00:00+00,225180,592403,367223,29044,4.9,8980,50628,117,0.2,129
2020/07/25 11:00:00+00,227351,601291,373940,29075,4.8,8888,50273,134,0.3,130
2020/07/26 11:00:00+00,228917,609307,380390,29099,4.8,8016,49659,145,0.3,131
2020/07/27 11:00:00+00,230354,615111,384757,29129,4.7,5804,47048,144,0.3,132
2020/07/28 11:00:00+00,232696,620076,387380,29145,4.7,4965,45339,147,0.3,133
2020/07/29 11:00:00+00,235512,624816,389304,29191,4.7,4740,45460,175,0.4,134
2020/07/30 11:00:00+00,238024,629199,391175,29247,4.6,4383,45776,219,0.5,135
2020/07/31 11:00:00+00,240195,633055,392860,29276,4.6,3856,40652,232,0.6,136
2020/08/01 11:00:00+00,241949,636361,394412,29329,4.6,3306,35070,254,0.7,137
2020/08/02 11:00:00+00,243364,639492,396128,29383,4.6,3131,30185,284,0.9,138
2020/08/03 11:00:00+00,244735,642533,397798,29459,4.6,3041,27422,330,1.2,139
2020/08/04 11:00:00+00,246273,644524,398251,29465,4.6,1991,24448,320,1.3,140
2020/08/05 11:00:00+00,248780,648285,399505,29517,4.6,3761,23469,326,1.4,141
2020/08/06 11:00:00+00,251437,653118,401681,29590,4.5,4833,23919,343,1.4,142
